Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена
 СВАО,Марьина роща,17,2,Компания Пионер,«PRIDE (Прайд)»,Премиум,квартира,5,22,Без отделки,1,32.2,,,Монолитный,Подземная,2025,16 106 665
 СЗАО,Трикотажная,4,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,2,26,Неизвестно,1,48.06,,,Монолитно-кирпичный,"Подземная, гостевая",2023,16 122 800
 САО,Тимирязевская,3,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,2,36,Чистовая,1,37.62,12.8,3.1,Монолитный,"Подземная, гостевая",2025,18 472 662
 ЗАО,Фили,5,3,Аеон Девелопмент,«River Park Towers Кутузовский (Ривер Парк Тауэрс Кутузовский)»,Премиум,квартира,2,45,Без отделки,1,42.8,,,Монолитно-кирпичный,Подземная,2026,22 450 632
 САО,Белорусская,4,3,MR Group,«Комплекс апартаментов Slava (Слава)»,Премиум,апартаменты,2,16,Предчистовая,1,47.9,,,Монолитно-кирпичный,"Подземная, гостевая",2023,25 160 002
 СЗАО,Терехово,1,3,,«Остров»,,квартира,6,19,Без отделки,1,44.9,13.5,18.4,,,2025,25 606 470
,,,0,,,,,,,,,,,,,,,
 САО,Тимирязевская,3,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,8,43,Предчистовая,3,85.13,33.9,6.2,Монолитный,"Подземная, гостевая",2025,30 781 218
 ЮЗАО,Ленинский проспект,13,3,Hutton Development,«Lunar (Лунар)»,Премиум,апартаменты,5,8,Чистовая,1,48.73,12.5,22.8,"Монолитно-кирпичный, монолитный",Подземная,2023,31 000 000
 САО,Белорусская,7,3,GloraX,«Глоракс Премиум Белорусская (GloraX Premium Белорусская)»,Премиум,апартаменты,5,21,Неизвестно,2,77.85,30.5,27.1,Монолитный,"Подземная, гостевая",2024,34 069 999
 СЗАО,Терехово,1,3,ДОНСТРОЙ,«Остров»,Бизнес,квартира,10,21,Неизвестно,2,64.4,26.9,18.0,Монолитный,"Подземная, гостевая",2025,33 494 440
 САО,Тимирязевская,3,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,19,36,Чистовая,2,60.58,22.4,5.9,Монолитный,"Подземная, гостевая",2025,26 483 944
 СВАО,Марьина роща,17,2,Компания Пионер,«PRIDE (Прайд)»,Премиум,квартира,3,9,Без отделки,3,83.8,,,Монолитный,Подземная,2025,33 862 909
 СВАО,Марьина роща,17,2,Компания Пионер,«PRIDE (Прайд)»,Премиум,квартира,4,9,Чистовая,2,45.3,,,Монолитный,Подземная,2025,25 330 627
