Округ,Ближайшая станция метро,Время до метро,Метро рядом,Застройщик,ЖК,Класс,Тип квартиры,Этаж,Этажей в доме,Отделка,Количество комнат,Площадь квартиры,Жилая площадь,Площадь кухни,Тип дома,Парковка,Год сдачи,Цена,Цена за 1 кв.м
 СВАО,Марьина роща,17.0,2,Компания Пионер,«PRIDE (Прайд)»,Премиум,квартира,5.0,22.0,Без отделки,1.0,32.2,20.333629300776895,11.724697336561748,Монолитный,Подземная,2025.0,16106665,500206.9875776397
 СЗАО,Трикотажная,4.0,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,2.0,26.0,Неизвестно,1.0,48.06,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,16122800,335472.3262588431
 САО,Тимирязевская,3.0,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,2.0,36.0,Чистовая,1.0,37.62,12.8,3.1,Монолитный,"Подземная, гостевая",2025.0,18472662,491033.01435406704
 ЗАО,Фили,5.0,3,Аеон Девелопмент,«River Park Towers Кутузовский (Ривер Парк Тауэрс Кутузовский)»,Премиум,квартира,2.0,45.0,Без отделки,1.0,42.8,20.333629300776895,11.724697336561748,Монолитно-кирпичный,Подземная,2026.0,22450632,524547.4766355141
 САО,Белорусская,4.0,3,MR Group,«Комплекс апартаментов Slava (Слава)»,Премиум,апартаменты,2.0,16.0,Предчистовая,1.0,47.9,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,25160002,525261.0020876827
 СЗАО,Терехово,1.0,3,,«Остров»,,квартира,6.0,19.0,Без отделки,1.0,44.9,13.5,18.4,,,2025.0,25606470,570300.0
 САО,Тимирязевская,3.0,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,8.0,43.0,Предчистовая,3.0,85.13,33.9,6.2,Монолитный,"Подземная, гостевая",2025.0,30781218,361578.9733348996
 ЮЗАО,Ленинский проспект,13.0,3,Hutton Development,«Lunar (Лунар)»,Премиум,апартаменты,5.0,8.0,Чистовая,1.0,48.73,12.5,22.8,"Монолитно-кирпичный, монолитный",Подземная,2023.0,31000000,636158.4239688078
 САО,Белорусская,7.0,3,GloraX,«Глоракс Премиум Белорусская (GloraX Premium Белорусская)»,Премиум,апартаменты,5.0,21.0,Неизвестно,2.0,77.85,30.5,27.1,Монолитный,"Подземная, гостевая",2024.0,34069999,437636.4675658318
 СЗАО,Терехово,1.0,3,ДОНСТРОЙ,«Остров»,Бизнес,квартира,10.0,21.0,Неизвестно,2.0,64.4,26.9,18.0,Монолитный,"Подземная, гостевая",2025.0,33494440,520099.99999999994
 САО,Тимирязевская,3.0,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,19.0,36.0,Чистовая,2.0,60.58,22.4,5.9,Монолитный,"Подземная, гостевая",2025.0,26483944,437173.0604159789
 СВАО,Марьина роща,17.0,2,Компания Пионер,«PRIDE (Прайд)»,Премиум,квартира,3.0,9.0,Без отделки,3.0,83.8,20.333629300776895,11.724697336561748,Монолитный,Подземная,2025.0,33862909,404091.9928400955
 СВАО,Марьина роща,17.0,2,Компания Пионер,«PRIDE (Прайд)»,Премиум,квартира,4.0,9.0,Чистовая,2.0,45.3,20.333629300776895,11.724697336561748,Монолитный,Подземная,2025.0,25330627,559174.9889624724
 СЗАО,Трикотажная,6.0,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,12.0,25.0,Черновая,3.0,87.36,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,32267290,369360.0045787546
 СЗАО,Трикотажная,6.0,3,СК Резиденс,«ÁLIA (АЛИЯ)»,Бизнес,квартира,9.0,16.0,Черновая,2.0,66.33,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,24764600,373354.4399216041
 ЗАО,Фили,5.0,3,MR Group,«Famous (Феймос)»,Премиум,квартира,32.0,57.0,Предчистовая,2.0,63.85,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,32954894,516129.89819890365
 ВАО,Семёновская,3.0,3,,«Преображенская площадь»,,квартира,3.0,17.0,Без отделки,2.0,64.33,20.333629300776895,11.724697336561748,,,2024.0,27424282,426306.264573294
 САО,Ховрино,4.0,3,Wainbridge,«Aquatoria (Акватория)»,Бизнес,квартира,14.0,20.0,Чистовая,2.0,63.7,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,27500000,431711.1459968603
 ЦАО,Воробьёвы горы,15.0,3,Absolute Premium,«Luzhniki Collection (Коллекция Лужники)»,Премиум,квартира,2.0,18.0,Без отделки,1.0,49.8,11.3,11.724697336561748,Монолитный,Подземная,2026.0,33471000,672108.4337349398
 САО,Белорусская,3.0,3,MR Group,«Комплекс апартаментов Slava (Слава)»,Премиум,Апартаменты-студия,6.0,15.0,Предчистовая,2.0,30.9,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,19776000,640000.0
 ЦАО,Краснопресненская,3.0,3,Forma,«Republic (Репаблик)»,Премиум,квартира,19.0,33.0,Без отделки,2.0,46.58,23.6,3.8,Монолитный,"Подземная, гостевая",2025.0,30691934,658907.9862601976
 СЗАО,Шелепиха,10.0,2,Level Group,«Level Причальный (Левел Причальный)»,Бизнес,квартира,2.0,32.0,Без отделки,4.0,87.5,67.3,4.3,"Монолитно-кирпичный, монолитный",Подземная,2023.0,28515229,325888.33142857143
 ЗАО,Фили,5.0,3,MR Group,«Famous (Феймос)»,Премиум,квартира,2.0,57.0,Предчистовая,1.0,37.25,20.333629300776895,11.724697336561748,Монолитно-кирпичный,"Подземная, гостевая",2023.0,20126491,540308.4832214765
 СЗАО,Терехово,1.0,3,ДОНСТРОЙ,«Остров»,Бизнес,квартира,6.0,19.0,Без отделки,1.0,44.9,13.5,18.4,Монолитный,"Подземная, гостевая",2025.0,25606470,570300.0
 СЗАО,Молодёжная,3.0,3,ДОНСТРОЙ,«Остров»,Бизнес,квартира,4.0,12.0,Чистовая с мебелью,2.0,62.8,24.2,20.7,Монолитный,"Подземная, гостевая",2024.0,34025040,541800.0
 САО,Савёловская,3.0,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,11.0,54.0,Предчистовая,3.0,92.88,35.5,5.2,Монолитный,"Подземная, гостевая",2025.0,32558228,350540.7838070629
 САО,Савёловская,3.0,3,MR Group,«SYMPHONY 34 (Симфони 34)»,Премиум,квартира,28.0,54.0,Предчистовая,2.0,67.87,24.7,7.3,Монолитный,"Подземная, гостевая",2025.0,26021283,383398.8949462207
